shapeISO,magSum
TR-01,125.9
TR-02,0
TR-03,24.1
TR-04,0
TR-05,6.3
TR-06,15.7
TR-07,39.7
TR-08,0
TR-09,0
TR-10,0
TR-11,0
TR-12,0
TR-13,11.7
TR-14,0
TR-15,0
TR-16,0
TR-17,0
TR-18,0
TR-19,0
TR-20,32.5
TR-21,0
TR-22,0
TR-23,0
TR-24,11.1
TR-25,7
TR-26,0
TR-27,277.8
TR-28,0
TR-29,0
TR-30,0
TR-31,772.1
TR-32,19.1
TR-33,39.3
TR-34,0
TR-35,0
TR-36,0
TR-37,3.4
TR-38,67.8
TR-39,0
TR-40,0
TR-41,0
TR-42,40.6
TR-43,0
TR-44,878.7
TR-45,37.5
TR-46,0
TR-47,4.3
TR-48,0
TR-49,0
TR-50,0
TR-51,0
TR-52,0
TR-53,0
TR-54,0
TR-55,7.6
TR-56,0
TR-57,0
TR-58,31.5
TR-59,0
TR-60,7.1
TR-61,0
TR-62,13.7
TR-63,0
TR-64,0
TR-65,6.7
TR-66,3.9
TR-67,0
TR-68,11.1
TR-69,0
TR-70,3.2
TR-71,0
TR-72,0
TR-73,0
TR-74,0
TR-75,0
TR-76,0
TR-77,6.9
TR-78,0
TR-79,13.1
TR-80,46.1
TR-81,0
